9. TRIFD,10. FACILITY NAME,12. FACILITY CITY,13. FACILITY COUNTY,14. FACILITY STATE,15. FACILITY ZIP CODE,LATITUDE,LONGITUDE,81. CHEMICAL NAME,84. CLASSIFICATION,85. UNIT OF MEASURE,86. HAZARDOUS AIR POLLUTANT - HAPS,87. CARCINOGEN,88. PFAS_IND,89. METAL IND,118. TOTAL AIR EMISSIONS
0207WGLBCM2SHUM,GLOBE COMPOSITE SOLUTIONS LLC,STOUGHTON,NORFOLK,MA,2072,42.10208,-70.90868,Nickel,TRI,Pounds,YES,YES,NO,YES,0
0207WGLBCM2SHUM,GLOBE COMPOSITE SOLUTIONS LLC,STOUGHTON,NORFOLK,MA,2072,42.10208,-70.90868,Diisocyanates,TRI,Pounds,NO,NO,NO,NO,0
0207WGLBCM2SHUM,GLOBE COMPOSITE SOLUTIONS LLC,STOUGHTON,NORFOLK,MA,2072,42.10208,-70.90868,Chromium,TRI,Pounds,YES,NO,NO,YES,0
01028SDDKR82DEE,ARCLIN SURFACES - EAST LONGMEADOW CO.,EAST LONGMEADOW,HAMPDEN,MA,1028,42.036831,-72.521964,Formaldehyde,TRI,Pounds,YES,YES,NO,NO,1161
01104NTNLM175PR,APMAR USA INC,SPRINGFIELD,HAMPDEN,MA,1104,42.13893,-72.533358,Nitric acid,TRI,Pounds,NO,NO,NO,NO,0
01810SHWSHANDOV,SHAWSHEEN RUBBER CO INC,ANDOVER,ESSEX,MA,1810,42.62707,-71.15672,Toluene,TRI,Pounds,YES,NO,NO,NO,491
0182WTHRMF22MIL,THERMO FISHER SCIENTIFIC,CHELMSFORD,MIDDLESEX,MA,1824,42.58377,-71.31874,Methanol,TRI,Pounds,YES,NO,NO,NO,6141
01721NYCLPMEGUN,NYACOL NANOTECHNOLOGIES INC,ASHLAND,MIDDLESEX,MA,1721,42.25963,-71.472741,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,0
01721NYCLPMEGUN,NYACOL NANOTECHNOLOGIES INC,ASHLAND,MIDDLESEX,MA,1721,42.25963,-71.472741,Ethylene glycol,TRI,Pounds,YES,NO,NO,NO,10
01721NYCLPMEGUN,NYACOL NANOTECHNOLOGIES INC,ASHLAND,MIDDLESEX,MA,1721,42.25963,-71.472741,Lead compounds,PBT,Pounds,YES,NO,NO,YES,0.3
01721NYCLPMEGUN,NYACOL NANOTECHNOLOGIES INC,ASHLAND,MIDDLESEX,MA,1721,42.25963,-71.472741,Antimony compounds,TRI,Pounds,YES,NO,NO,YES,206.9
