GEOGRAPHIC,GEOID,SPLIT_FOR_,MUNICIPALI,TOTAL_POP,NONHISPWHI,PCT_MINORI,TOTALHH,LIMENGHH,LIMENGHHPC,BG_MHHI,BG_MHHI_PC,BG_MHHI_IS,MUNI_MHHI,MUNIMHHI_P,MEDIANHHI,LIMITEDENG,MINORITY_P,EJ,EJ_CRITERI,EJ_CRITE_1,EJ_CRIT_DE,Shape_Leng,Shape_Area
"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",250250002021,N,Boston,828.000000000000000,584.000000000000000,29.468599030000000,288.000000000000000,22,7.638888840000000,97105.000000000000000,115.073768619999996,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1496.587161460000061,131276.350742999988142
"Block Group 3, Census Tract 5.02, Suffolk County, Massachusetts",250250005023,N,Boston,1577.000000000000000,1051.000000000000000,33.354470509999999,738.000000000000000,117,15.853658680000001,46818.000000000000000,55.481426239999998,0,76298.000000000000000,90.416542050000004,I, ,M,Yes,MI,2,Minority and income,1346.293908249999959,87331.275494700006675
"Block Group 1, Census Tract 5.03, Suffolk County, Massachusetts",250250005031,N,Boston,787.000000000000000,523.000000000000000,33.545108010000000,387.000000000000000,23,5.943152430000000,107639.000000000000000,127.557029720000003,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1168.641889980000087,64232.131222999996680
"Block Group 2, Census Tract 5.03, Suffolk County, Massachusetts",250250005032,N,Boston,1631.000000000000000,1098.000000000000000,32.679337830000001,769.000000000000000,80,10.403120990000000,74869.000000000000000,88.723114010000003,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1105.159792509999988,75705.337337100005243
"Block Group 1, Census Tract 5.05, Suffolk County, Massachusetts",250250005051,N,Boston,809.000000000000000,508.000000000000000,37.206427689999998,374.000000000000000,0,0.000000000000000,100451.000000000000000,119.038925169999999,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,851.151853512000002,42552.270972799997253
"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts",250250002022,N,Boston,804.000000000000000,564.000000000000000,29.850746269999998,389.000000000000000,31,7.969151500000000,101450.000000000000000,120.222785950000002,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1496.889596210000036,123031.409301000006963
"Block Group 3, Census Tract 2.02, Suffolk County, Massachusetts",250250002023,N,Boston,2516.000000000000000,1246.000000000000000,50.476947539999998,827.000000000000000,117,14.147521019999999,74375.000000000000000,88.137702939999997,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,3361.558893270000226,347290.744543000007980
"Block Group 1, Census Tract 3.01, Suffolk County, Massachusetts",250250003011,N,Boston,715.000000000000000,475.000000000000000,33.566433570000001,272.000000000000000,8,2.941176410000000,111875.000000000000000,132.576873780000000,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2714.891687050000201,221941.863725000002887
"Block Group 4, Census Tract 3.01, Suffolk County, Massachusetts",250250003014,N,Boston,934.000000000000000,617.000000000000000,33.940042830000003,287.000000000000000,20,6.968641280000000,106359.000000000000000,126.040176389999999,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1566.156260360000033,126497.063911999997799
"Block Group 3, Census Tract 4001, Norfolk County, Massachusetts",250214001003,N,Boston,777.000000000000000,504.000000000000000,35.135135140000003,256.000000000000000,0,0.000000000000000,147353.000000000000000,174.619903560000012,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1410.706432149999955,117795.927486999993562
"Block Group 3, Census Tract 4163, Norfolk County, Massachusetts",250214163003,N,Boston,862.000000000000000,591.000000000000000,31.438515079999998,239.000000000000000,0,0.000000000000000,186406.000000000000000,220.899444579999994,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2730.264850550000119,278005.438535999972373
"Block Group 3, Census Tract 9811, Suffolk County, Massachusetts",250259811003,N,Boston,91.000000000000000,27.000000000000000,70.329670329999999,0.000000000000000,0,0.000000000000000,44423.000000000000000,51.749122620000001,1,76298.000000000000000,90.416542050000004,I, ,M,Yes,MI,2,Minority and income,4328.628653320000012,572469.046592999948189
"Block Group 1, Census Tract 9813, Suffolk County, Massachusetts",250259813001,N,Boston,79.000000000000000,54.000000000000000,31.645569620000000,5.000000000000000,0,0.000000000000000,128000.000000000000000,149.109420779999994,1,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,16051.259410200000275,9018701.556980000808835
"Block Group 4, Census Tract 1006.01, Suffolk County, Massachusetts",250251006014,N,Boston,2050.000000000000000,392.000000000000000,80.878048780000000,878.000000000000000,94,10.706150050000000,93487.000000000000000,110.786277769999998,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1585.784886050000068,139107.023156000010204
"Block Group 1, Census Tract 1006.03, Suffolk County, Massachusetts",250251006031,N,Boston,1483.000000000000000,953.000000000000000,35.738368170000001,646.000000000000000,29,4.489163880000000,94474.000000000000000,111.955917360000001,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,4038.896903679999923,447814.417546999990009
"Block Group 2, Census Tract 1006.03, Suffolk County, Massachusetts",250251006032,N,Boston,689.000000000000000,438.000000000000000,36.429608129999998,208.000000000000000,6,2.884615420000000,87647.000000000000000,103.865615840000004,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,4678.758451140000034,768280.068582999985665
"Block Group 5, Census Tract 1005, Suffolk County, Massachusetts",250251005005,N,Boston,1429.000000000000000,65.000000000000000,95.451364589999997,504.000000000000000,102,20.238094329999999,46312.000000000000000,54.881790160000001,0,76298.000000000000000,90.416542050000004,I, ,M,Yes,MI,2,Minority and income,1758.185464709999906,165409.193048999994062
"Block Group 3, Census Tract 1104.03, Suffolk County, Massachusetts",250251104033,N,Boston,731.000000000000000,272.000000000000000,62.790697670000000,213.000000000000000,0,0.000000000000000,114250.000000000000000,135.391357419999991,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1821.313228819999949,160776.969038999988697
"Block Group 3, Census Tract 1105.01, Suffolk County, Massachusetts",250251105013,N,Boston,916.000000000000000,658.000000000000000,28.165938860000001,357.000000000000000,0,0.000000000000000,124485.000000000000000,147.520294189999987,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1748.542165500000010,162028.618768999993335
"Block Group 3, Census Tract 1106.07, Suffolk County, Massachusetts",250251106073,N,Boston,1586.000000000000000,1196.000000000000000,24.590163929999999,634.000000000000000,0,0.000000000000000,121154.000000000000000,143.572906490000008,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2866.484786479999912,363559.889981999993324
"Block Group 1, Census Tract 1201.04, Suffolk County, Massachusetts",250251201041,N,Boston,908.000000000000000,676.000000000000000,25.550660789999998,474.000000000000000,0,0.000000000000000,110776.000000000000000,131.274520870000003,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1545.058065149999948,103274.568186000004061
"Block Group 3, Census Tract 1006.01, Suffolk County, Massachusetts",250251006013,N,Boston,1320.000000000000000,370.000000000000000,71.969696970000001,503.000000000000000,0,0.000000000000000,76287.000000000000000,90.403511050000006,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1450.316502370000080,108555.616823000003933
"Block Group 2, Census Tract 1007, Suffolk County, Massachusetts",250251007002,N,Boston,1008.000000000000000,830.000000000000000,17.658730160000001,527.000000000000000,0,0.000000000000000,31293.000000000000000,37.083606719999999,0,76298.000000000000000,90.416542050000004,I, , ,Yes,I,1,Income,4077.338050459999977,749106.646992000052705
"Block Group 1, Census Tract 1008, Suffolk County, Massachusetts",250251008001,N,Boston,716.000000000000000,273.000000000000000,61.871508380000002,236.000000000000000,31,13.135593410000000,63514.000000000000000,75.266929630000007,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1606.126964439999938,121551.008382999993046
"Block Group 2, Census Tract 1008, Suffolk County, Massachusetts",250251008002,N,Boston,983.000000000000000,575.000000000000000,41.505595120000002,598.000000000000000,100,16.722408290000001,94295.000000000000000,111.743789669999998,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2000.521069269999998,136902.266479000012623
"Block Group 2, Census Tract 1202.01, Suffolk County, Massachusetts",250251202012,N,Boston,1872.000000000000000,861.000000000000000,54.006410260000003,907.000000000000000,145,15.986769680000000,63068.000000000000000,74.738403320000003,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2354.136201759999949,324726.928415999980643
"Block Group 1, Census Tract 1203.01, Suffolk County, Massachusetts",250251203011,N,Boston,1212.000000000000000,470.000000000000000,61.221122110000003,369.000000000000000,22,5.962059500000000,138365.000000000000000,163.968719480000004,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1648.114879479999900,141678.040561000001617
"Block Group 1, Census Tract 1204, Suffolk County, Massachusetts",250251204001,N,Boston,906.000000000000000,681.000000000000000,24.834437090000002,369.000000000000000,0,0.000000000000000,106619.000000000000000,126.348281860000000,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1953.018835619999891,164200.324525000003632
"Block Group 4, Census Tract 1204, Suffolk County, Massachusetts",250251204004,N,Boston,1923.000000000000000,1357.000000000000000,29.433177329999999,934.000000000000000,36,3.854389670000000,111053.000000000000000,131.602767940000007,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2259.346703340000204,251366.037489000009373
