GEOGRAPHIC,GEOID,SPLIT_FOR_,MUNICIPALI,TOTAL_POP,NONHISPWHI,PCT_MINORI,TOTALHH,LIMENGHH,LIMENGHHPC,BG_MHHI,BG_MHHI_PC,BG_MHHI_IS,MUNI_MHHI,MUNIMHHI_P,MEDIANHHI,LIMITEDENG,MINORITY_P,EJ,EJ_CRITERI,EJ_CRITE_1,EJ_CRIT_DE,SHAPE_AREA,SHAPE_LEN
"Block Group 4, Census Tract 3395, Middlesex County, Massachusetts",250173395004,N,Medford,789.000000000000000,562.000000000000000,28.770595690000000,325.000000000000000,0,0.000000000000000,104625.000000000000000,123.985305789999998,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,150817.894339999998920,1702.875969120000036
"Block Group 1, Census Tract 3396, Middlesex County, Massachusetts",250173396001,N,Medford,844.000000000000000,596.000000000000000,29.383886260000001,349.000000000000000,0,0.000000000000000,125063.000000000000000,148.205245969999993,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,204750.355363000009675,2506.530140800000027
"Block Group 2, Census Tract 3396, Middlesex County, Massachusetts",250173396002,N,Medford,892.000000000000000,653.000000000000000,26.793721970000000,271.000000000000000,6,2.214022160000000,69830.000000000000000,82.751670840000003,0,101168.000000000000000,119.888603209999999, , ,M,Yes,M,1,Minority,121935.402545000004466,1563.461097999999993
"Block Group 1, Census Tract 3336.02, Middlesex County, Massachusetts",250173336021,N,Woburn,1838.000000000000000,762.000000000000000,58.541893360000003,722.000000000000000,0,0.000000000000000,79337.000000000000000,94.017890929999993,0,92084.000000000000000,109.123657230000006, , ,M,Yes,M,1,Minority,554408.731511999969371,5222.317414959999951
"Block Group 3, Census Tract 3342, Middlesex County, Massachusetts",250173342003,N,Reading,1015.000000000000000,853.000000000000000,15.960591129999999,498.000000000000000,0,0.000000000000000,52738.000000000000000,62.496891020000000,0,131515.000000000000000,155.851165769999994,I, , ,Yes,I,1,Income,475118.862479000003077,4364.309636250000040
"Block Group 4, Census Tract 3415, Middlesex County, Massachusetts",250173415004,N,Malden,903.000000000000000,261.000000000000000,71.096345510000006,273.000000000000000,50,18.315017699999999,93125.000000000000000,110.357292180000002,0,73399.000000000000000,86.981101989999999, , ,M,Yes,M,1,Minority,111172.455335999999079,2158.324348959999952
"Block Group 3, Census Tract 3416, Middlesex County, Massachusetts",250173416003,N,Malden,1220.000000000000000,591.000000000000000,51.557377049999999,435.000000000000000,39,8.965517040000000,91891.000000000000000,108.894943240000003,0,73399.000000000000000,86.981101989999999, , ,M,Yes,M,1,Minority,184068.979695999994874,2282.016444819999833
"Block Group 4, Census Tract 3416, Middlesex County, Massachusetts",250173416004,N,Malden,1212.000000000000000,404.000000000000000,66.666666669999998,259.000000000000000,0,0.000000000000000,148036.000000000000000,175.429275509999997,0,73399.000000000000000,86.981101989999999, , ,M,Yes,M,1,Minority,107995.986466000002110,1431.021188310000070
"Block Group 6, Census Tract 3416, Middlesex County, Massachusetts",250173416006,N,Malden,1750.000000000000000,721.000000000000000,58.799999999999997,539.000000000000000,61,11.317254070000001,75774.000000000000000,89.795578000000006,0,73399.000000000000000,86.981101989999999, , ,M,Yes,M,1,Minority,662856.507866000058129,4175.955343679999714
"Block Group 2, Census Tract 3120, Middlesex County, Massachusetts",250173120002,N,Lowell,1596.000000000000000,521.000000000000000,67.355889719999993,504.000000000000000,107,21.230157850000001,65167.000000000000000,77.225807189999998,0,62196.000000000000000,73.705039979999995, , ,M,Yes,M,1,Minority,215572.305009000003338,2696.797748599999977
